method,seg_len_L,delta_mag,batch_size,seed,theta_rmse,y_rmse,y_crps
BOCPD-BPC,80,2.0,20,404,0.031239021370525137,1.7384028593699137,
R-BOCPD-PF-OGP,80,2.0,20,404,0.008001238265728482,0.7643611891738434,
PF-OGP,80,2.0,20,404,0.8034116729691365,1.8969129937312224,
R-BOCPD-PF-usediscrepancy,80,2.0,20,404,0.03847652478726809,1.7812319647228338,0.4802660258830558
R-BOCPD-PF-nodiscrepancy,80,2.0,20,404,0.013205020889213893,1.7597102651880632,0.48026266713691457
R-BOCPD-PF-halfdiscrepancy,80,2.0,20,404,0.01187021461077249,1.7615088500025664,0.48048493826503225
DA,80,2.0,20,505,0.11798382991013082,1.4818837771813074,0.9560865481694539
BC,80,2.0,20,505,0.22117867859323592,1.4896248251199722,0.9596691722671191
BOCPD-PF,80,2.0,20,505,0.07669060591240545,1.811297769136718,0.7276350438327215
BPC-80,80,2.0,20,505,0.17210342560278008,1.8636173725128173,
BOCPD-BPC,80,2.0,20,505,0.02977132256498651,1.755635174115499,
R-BOCPD-PF-OGP,80,2.0,20,505,0.010339009798624491,0.7802534920435942,
PF-OGP,80,2.0,20,505,0.8211102024666359,1.9375067457125785,
R-BOCPD-PF-usediscrepancy,80,2.0,20,505,0.03575421590595003,1.7893821780543149,0.4911030617200282
R-BOCPD-PF-nodiscrepancy,80,2.0,20,505,0.013408603659352064,1.7766390709405315,0.6142083734113604
R-BOCPD-PF-halfdiscrepancy,80,2.0,20,505,0.014671227547594886,1.7755769023752335,0.6463583758460955
DA,80,3.0,20,101,0.24224452425368614,1.76955151061217,1.162219189107418
BC,80,3.0,20,101,0.32271888240037944,1.7693527112404506,1.1597874989112218
BOCPD-PF,80,3.0,20,101,0.18318716059010323,1.7786360411966144,0.7917780953142018
BPC-80,80,3.0,20,101,0.25706006581954405,1.8824854850769044,
BOCPD-BPC,80,3.0,20,101,0.02951020784246666,1.6624249458312987,
R-BOCPD-PF-OGP,80,3.0,20,101,0.026078543179513476,0.8919672937702567,
PF-OGP,80,3.0,20,101,1.0462541190272976,1.8848996852742574,
R-BOCPD-PF-usediscrepancy,80,3.0,20,101,0.0587381649271794,1.694173932857474,0.6459491579371617
R-BOCPD-PF-nodiscrepancy,80,3.0,20,101,0.016771870140866736,1.6882121460207242,0.55762462829986
R-BOCPD-PF-halfdiscrepancy,80,3.0,20,101,0.09405959433163502,1.724138438947457,1.0056181660635564
DA,80,3.0,20,202,0.21366809216527516,1.7434351325035096,1.164943990111351
BC,80,3.0,20,202,0.3385342989820762,1.7496742010116577,1.1668609549601874
BOCPD-PF,80,3.0,20,202,0.16522167915261146,1.7662153121793314,0.7435956148698359
BPC-80,80,3.0,20,202,0.25929439054282993,1.8708225965499878,
BOCPD-BPC,80,3.0,20,202,0.027923232320859567,1.6495514074961344,
R-BOCPD-PF-OGP,80,3.0,20,202,0.02809641948067155,0.8723154216420596,
PF-OGP,80,3.0,20,202,1.2123960910519624,1.9078682489917864,
